SP1,Bắp Hấp FM,bap-hap-fm,Family-Mart-Mar-05-06-2.jpg,6000
SP2,Cá Viên Cốm Xanh Mayo,ca-vien-com-xanh-mayo,familymart-Oct-W2-2.jpg,12000
SP3,Cá Viên Tôm,ca-vien-tom,FamilyMart-Sep-W2-4-768x768.gif,12000
SP4,Cánh Gà Chiên,canh-ga-chien,1CanhGaChien.jpg,25000
SP5,Pizza Phô Mai Chiên,pizza-pho-mai-chien,1Piza.jpg,14000
SP6,Set Khoai Tây Nghiền,set-khoai-tay-nghien,familymart-Sep-W3-2.png,8000
SP7,Takoyaki Set,takoyaki-set,Family-Mart-Oct-02-03-2.jpg,22000
SP8,Bò Viên,bo-vien,Bò-Viên-TVS.jpg,6000
SP9,Chả Cá Bọc Bắp Non,cha-ca-boc-bap-non,FM-180413-chacabapnon.jpg,5000
SP10,Chả Cá Bọc Trứng Cút,cha-ca-boc-trung-cut,FM-180508-chacaboctrungcut-s.jpg,6000
SP11,Chả Tôm,cha-tom,FamilyMart-July-W3-2.png,6000
SP12,Đậu Hũ Bọc Hải Sản,dau-hu-boc-hai-san,pimgpsh_fullsize_distr1.png,5000
SP13,Khoai Tây Surimi,khoai-tay-surimi,Khoai-Tay-Surimi.jpg,6000
SP14,Mực Viên,muc-vien,Family-Mart-Nov-03-01.jpg,8000
SP15,Thanh Chả Heo,thanh-cha-heo,6.jpg,9000
SP16,Viên Măng Rau Củ,vien-mang-rau-cu,FamilyMart-May-W3-4-2.jpg,5000
SP17,Viên Mực Rau Củ,vien-muc-rau-cu,Family-Mart-Mar-04-02.jpg,6000
SP18,Xúc Xích HotPot,xuc-xich-hotpot,22.jpg,10000
SP19,Trà Sữa Táo Xanh,tra_sua_tao_xanh,tra_sua_tao_xanh.jpg,35000
SP20,Trà Sữa Trân Châu Đường Đen,tra-sua-tran-chau-duong-den,tra_sua_duong_den_1.jpg,37000
SP21,Trà Sữa Dâu,tra-sua-dau,traa_sua_sau.jpg,37000
SP22,Trà Sữa Đào,tra-sua-dao,tra_sua_dao.jpg,35000
SP23,Trà Sữa Mật Ong,tra-sua-mat-ong,tra_sua_mat_ong.jpg,37000
SP24,Trà Sữa Dưa Lưới,tra-sua-dua-luoi,tra_sua_dua_luoi.jpg,35000
SP25,Trà Sữa Kiwi,tra-sua-kiwi,tra_sua_kiwi.jpg,35000
SP26,Trà Sữa Khoai Môn,tra-sua-khoai-mon,tra_sua_khoa_mon.jpg,37000
SP27,Trà Sữa Truyền Thống,tra-sua-truyen-thong,tra_sua_tuyen_thong.jpg,30000
SP28,Trà Sữa Hoa Hướng Dương,tra-sua-hoa-huong-duong,tra_sua_hoa_huong_duong.jpg,42000
SP29,Hồng Trà Sữa,hong-tra-sua,hong_tra_sua.jpg,30000
SP30,Trà Sữa Gạo,tra-sua-gao,tra_sua_gao_gDfHuVp.jpg,37000
SP31,Trà Xanh 888,tra-xanh-888,tra_sua_888.jpg,27000
SP32,Bá Tước Sủi Bọt,ba-tuoc-sui-bot,ba_tuoc_sui_bot.jpg,27000
SP33,Ôlong Sủi Bọt,olong-sui-bot,oLong_sui_bot.jpg,27000
SP34,Lục Trà Sủi Bọt,luc-tra-sui-bot,luc_tra_sui_bot.jpg,27000
SP35,Hồng Trà Sủi Bọt,hong-tra-sui-bot,hong_tra_sua_zgUaRwf.jpg,27000
SP36,Bá Tước Sữa,ba-tuoc-sua,ba_tuoc_sua.jpg,37000
SP37,Ôlong Sữa,olong-sua,olong_sua.jpg,37000
SP38,Trà Xanh Sữa,tra-xanh-sua,tra_xanh_sua.jpg,37000
SP39,Lục Trà Tắc Tươi,luc-tra-tac-tuoi,luc_tra_tac_tuoi.jpg,29000
SP40,Ôlong Tắc Tươi,olong-tac-tuoi,oLong_tac_tuoi.jpg,29000
SP41,Ôlong Dâu,olong-dau,olong_dau.jpg,29000
SP42,Ôlong Chanh Tươi,olong-chanh-tuoi,olong_chanh_tuoi.jpg,29000
SP43,Lục trà đào,luc-tra-dao,luc_tra_dao.jpg,37000
SP44,Lục Trà Dưa Lưới,luc-tra-dua-luoi,tra_sua_dua_luoi_dAvTyXv.jpg,25000
SP45,Lục Trà Táo Xanh,luc-tra-tao-xanh,luc_tra_tao_xanh.jpg,25000
SP46,Lục Trà Kiwi,luc-tra-kiwi,luc_tra_kiwi.jpg,25000
SP47,Lục trà mật ong,luc-tra-mat-ong,luc_tra_mat_ong.jpg,30000
SP48,Lục Trà Tắc Chanh Dây,luc-tra-tac-chanh-day,luc_tra_tac_chanh_day.jpg,35000
SP49,Lục Trà Dâu,luc-tra-dau,luc_tra_dau.jpg,29000
SP50,Lục Trà Chanh Tươi,luc-tra-chanh-tuoi,luc_tra_chanh_tuoi.jpg,29000
SP51,Matcha Macchiato,matcha-macchiato,Matcha_Macchiato.jpg,55000
SP52,Matcha Đậu Đỏ,matcha-dau-do,Matcha_dau_do.jpg,49000
SP53,Lục Trà Bọt Sữa,luc-tra-bot-sua,luc_tra_bot_sua.jpg,45000
SP54,Hồng Trà Bọt Sữa,hong-tra-bot-sua,hong_tra_bot_sua.jpg,35000
SP55,Nước Ép Chanh Dây,nuoc-ep-chanh-day,nuoc_ep_chai_day.jpg,3700
SP56,Nước ép cam,nuoc-ep-cam,nuoc_ep_cam.jpg,37000
SP57,Nước ép táo,nuoc-ep-tao,nuoc_ep_tao.jpg,42000
SP58,Nước ép bưởi,nuoc-ep-buoi,nuoc_ep_buoi.jpg,37000
SP59,Nước lô hội mật ong chanh,nuoc-lo-hoi-mat-ong-chanh,nuoc_ep_lohoi_mat_ong_chanh.jpg,37000
SP60,Cà phê sữa,ca-phe-sua,ca_phe_sua.jpg,37000
SP61,Cà phê đen,ca-phe-den,ca_phe_den.jpg,37000
SP62,Hạt 3Q Ngọc Trai,hat-3q-ngoc-trai,hat_3q_ngoc_trai.jpg,10000
SP63,Đào Miếng,dao-mieng,dao_mieng.jpg,10000
SP64,Kem Sữa,kem-sua,kem_sua.jpg,10000
SP65,Hạt thuỷ tinh Yogurt,hat-thuy-tinh-yogurt,hat_3q_ngoc_trai_D8H3aeu.jpg,10000
SP66,Bánh plan trứng,banh-plan-trung,banh_plan_trung.jpg,7000
SP67,Đậu đỏ,dau-do,dau_do.jpg,10000
SP68,Hạt lô hội,hat-lo-hoi,hat_lo_hoi.jpg,7000
SP69,Hạt trái cây,hat-trai-cay,hat_trai_cay.jpg,7000
SP70,Hạt Cà Phê,hat-ca-phe,hat_ca_phe.jpg,7000
SP71,Sương Sáo,suong-sao,suong_sao.jpg,7000
SP72,Hạt Trân Châu,hat-tran-chau,hat_tran_chau.jpg,7000
SP73,Sinh tố,sinh-to,sinhto.jpg,15000
